CÓDIGO DO MUNICÍPIO - TOM;CÓDIGO DO MUNICÍPIO - IBGE;MUNICÍPIO - TOM;MUNICÍPIO - IBGE;UF;REGIAO
3483;2909208;CORONEL JOÃO SÁ;Coronel João Sá;BA;NORDESTE
3485;2909307;CORRENTINA;Correntina;BA;NORDESTE
3487;2909406;COTEGIPE;Cotegipe;BA;NORDESTE
3489;2909505;CRAVOLÂNDIA;Cravolândia;BA;NORDESTE
3491;2909604;CRISÓPOLIS;Crisópolis;BA;NORDESTE
3493;2909703;CRISTÓPOLIS;Cristópolis;BA;NORDESTE
3495;2909802;CRUZ DAS ALMAS;Cruz das Almas;BA;NORDESTE
3497;2909901;CURAÇÁ;Curaçá;BA;NORDESTE
3499;2910008;DÁRIO MEIRA;Dário Meira;BA;NORDESTE
3501;2910107;DOM BASÍLIO;Dom Basílio;BA;NORDESTE
3503;2910206;DOM MACEDO COSTA;Dom Macedo Costa;BA;NORDESTE
3505;2910305;ELÍSIO MEDRADO;Elísio Medrado;BA;NORDESTE
3507;2910404;ENCRUZILHADA;Encruzilhada;BA;NORDESTE
3509;2910503;ENTRE RIOS;Entre Rios;BA;NORDESTE
3511;2910602;ESPLANADA;Esplanada;BA;NORDESTE
3513;2910701;EUCLIDES DA CUNHA;Euclides da Cunha;BA;NORDESTE
3515;2910800;FEIRA DE SANTANA;Feira de Santana;BA;NORDESTE
3517;2910909;FIRMINO ALVES;Firmino Alves;BA;NORDESTE
3519;2911006;FLORESTA AZUL;Floresta Azul;BA;NORDESTE
3521;2911105;FORMOSA DO RIO PRETO;Formosa do Rio Preto;BA;NORDESTE
3523;2911204;GANDU;Gandu;BA;NORDESTE
3525;2911303;GENTIO DO OURO;Gentio do Ouro;BA;NORDESTE
3527;2911402;GLÓRIA;Glória;BA;NORDESTE
3529;2911501;GONGOGI;Gongogi;BA;NORDESTE
3531;2911600;GOVERNADOR MANGABEIRA;Governador Mangabeira;BA;NORDESTE
3533;2911709;GUANAMBI;Guanambi;BA;NORDESTE
3535;2911808;GUARATINGA;Guaratinga;BA;NORDESTE
3537;2911907;IAÇU;Iaçu;BA;NORDESTE
3539;2912004;IBIASSUCÊ;Ibiassucê;BA;NORDESTE
3541;2912103;IBICARAÍ;Ibicaraí;BA;NORDESTE
3543;2912202;IBICOARA;Ibicoara;BA;NORDESTE
3545;2912301;IBICUÍ;Ibicuí;BA;NORDESTE
3547;2912400;IBIPEBA;Ibipeba;BA;NORDESTE
3549;2928406;SANTA RITA DE CÁSSIA;Santa Rita de Cássia;BA;NORDESTE
3551;2912509;IBIPITANGA;Ibipitanga;BA;NORDESTE
3553;2912608;IBIQUERA;Ibiquera;BA;NORDESTE
3555;2912707;IBIRAPITANGA;Ibirapitanga;BA;NORDESTE
3557;2912806;IBIRAPUÃ;Ibirapuã;BA;NORDESTE
3559;2912905;IBIRATAIA;Ibirataia;BA;NORDESTE
3561;2913002;IBITIARA;Ibitiara;BA;NORDESTE
3563;2913101;IBITITÁ;Ibititá;BA;NORDESTE
3565;2913200;IBOTIRAMA;Ibotirama;BA;NORDESTE
